执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-10 08:27:13
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-10 08:27:20
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-10 08:27:27
执行时间：0.09375 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-10 08:27:37
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-10 08:30:13
执行时间：0.09375 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-10 08:31:55
执行时间：0.109375 = URL：/Work/ClassUser/index.html 当前时间:2017-07-10 08:42:24
执行时间：0.109375 = URL：/Work/ClassList/index.html 当前时间:2017-07-10 08:42:26
执行时间：0.0625 = URL：/Work/Work/checkWork.html 当前时间:2017-07-10 09:18:19
执行时间：0.078125 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/15/cid/1.html 当前时间:2017-07-10 09:18:32
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-10 09:18:46
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-10 09:18:50
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-10 09:19:09
执行时间：0.0625 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-10 09:19:14
执行时间：0.078125 = URL：/Work/Work/addWork/workStyle/case.html 当前时间:2017-07-10 09:21:48
执行时间：0.09375 = URL：/Work/Work/addWork/workStyle/case.html 当前时间:2017-07-10 10:00:14
执行时间：0.09375 = URL：/Work/Work/checkWork/workStyle/case.html 当前时间:2017-07-10 10:00:17
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-10 12:46:16
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-10 12:46:38
执行时间：0.09375 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-10 12:46:42
执行时间：0.0625 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-10 12:53:03
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-10 12:53:23
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-11 11:00:03
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-11 11:00:30
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-11 11:09:03
